grid_id,latitude,longitude,rainfall_scenario,rainfall_mm_h,display_expected_stage_max,expected_stage,expected_depth_class,scenario_expected_visible,flood_expected,flood_history_2022,flood_history_2023,flood_history,flood_history_recent,flood_history_old,history_polygon_count,history_recent_polygon_count,history_old_polygon_count,history_year_count,latest_history_year,years_since_latest_history,history_recency_score,distance_to_flood_area_m,scenario_risk_score,risk_grade,flood_label,scenario_flood_label
G0001,37.523392,127.012961,10mm/h,10,2,0,none,0,0,0,0,0,0,0,0,0,0,0,0,99,0.0,480.4,5,낮음,0,0
G0002,37.526067,127.011814,10mm/h,10,2,0,none,0,0,0,0,0,0,0,0,0,0,0,0,99,0.0,702.2,4,낮음,0,0
G0003,37.52934,127.01293,10mm/h,10,2,0,none,0,0,0,0,0,0,0,0,0,0,0,0,99,0.0,901.9,3,낮음,0,0
G0004,37.518002,127.0194,10mm/h,10,2,0,none,0,0,0,0,0,0,0,0,0,0,0,0,99,0.0,225.7,7,낮음,0,0
G0005,37.522041,127.018514,10mm/h,10,2,1,~0.5m,1,1,0,0,0,0,0,0,0,0,0,0,99,0.0,0.0,41,낮음,1,1
G0006,37.526103,127.016922,10mm/h,10,2,0,none,0,0,0,0,0,0,0,0,0,0,0,0,99,0.0,421.6,6,낮음,0,0
G0007,37.53048,127.016919,10mm/h,10,2,0,none,0,0,0,0,0,0,0,0,0,0,0,0,99,0.0,573.8,5,낮음,0,0
G0008,37.534189,127.018186,10mm/h,10,2,0,none,0,0,0,0,0,0,0,0,0,0,0,0,99,0.0,659.6,4,낮음,0,0
G0009,37.504565,127.024924,10mm/h,10,2,1,~0.5m,1,1,1,0,1,1,0,2,2,0,1,2022,1,1.88,14.8,69,주의,1,1
G0010,37.508341,127.024038,10mm/h,10,2,5,2.0~3.0m,0,1,1,0,1,1,0,81,81,0,1,2022,1,76.14,0.0,51,주의,1,1
G0011,37.512672,127.023036,10mm/h,10,2,0,none,0,0,1,0,1,1,0,5,5,0,1,2022,1,4.7,244.3,39,낮음,1,1
G0012,37.517054,127.022588,10mm/h,10,2,0,none,0,0,1,0,1,1,0,1,1,0,1,2022,1,0.94,70.9,33,낮음,1,1
G0013,37.521554,127.02255,10mm/h,10,2,1,~0.5m,1,1,1,0,1,1,0,4,4,0,1,2022,1,3.76,162.8,72,주의,1,1
G0014,37.526061,127.022522,10mm/h,10,2,1,~0.5m,1,1,0,0,0,0,0,0,0,0,0,0,99,0.0,176.3,40,낮음,1,1
G0015,37.530567,127.022493,10mm/h,10,2,1,~0.5m,1,1,0,0,0,0,0,0,0,0,0,0,99,0.0,113.3,40,낮음,1,1
G0016,37.535067,127.022473,10mm/h,10,2,0,none,0,0,0,0,0,0,0,0,0,0,0,0,99,0.0,545.1,5,낮음,0,0
G0017,37.538331,127.023323,10mm/h,10,2,0,none,0,0,0,0,0,0,0,0,0,0,0,0,99,0.0,895.5,3,낮음,0,0
G0018,37.491551,127.030882,10mm/h,10,2,0,none,0,0,1,0,1,1,0,2,2,0,1,2022,1,1.88,0.0,36,낮음,1,1
G0019,37.494921,127.030079,10mm/h,10,2,5,2.0~3.0m,0,1,1,0,1,1,0,7,7,0,1,2022,1,6.58,29.6,51,주의,1,1
G0020,37.499238,127.029043,10mm/h,10,2,0,none,0,0,1,0,1,1,0,3,3,0,1,2022,1,2.82,112.0,39,낮음,1,1
G0021,37.503564,127.028341,10mm/h,10,2,1,~0.5m,1,1,1,0,1,1,0,6,6,0,1,2022,1,5.64,217.3,72,주의,1,1
G0022,37.508057,127.028294,10mm/h,10,2,1,~0.5m,1,1,1,0,1,1,0,75,75,0,1,2022,1,70.5,39.2,72,주의,1,1
G0023,37.512563,127.028265,10mm/h,10,2,0,none,0,0,1,1,1,1,0,62,62,0,2,2023,0,58.34,22.0,40,낮음,1,1
G0024,37.51707,127.028237,10mm/h,10,2,0,none,0,0,1,0,1,1,0,2,2,0,1,2022,1,1.88,290.5,35,낮음,1,1
