feature,importance
distance_to_flood_area_m,0.254497
expected_stage,0.150747
flood_expected,0.143451
history_recent_polygon_count,0.06125
history_recency_score,0.05788
flood_history,0.056691
flood_history_2022,0.05401
history_year_count,0.052748
years_since_latest_history,0.047147
flood_history_recent,0.043139
history_polygon_count,0.035501
latitude,0.017059
longitude,0.013335
display_expected_stage_max,0.006993
rainfall_mm_h,0.005488
flood_history_2023,6.2e-05
history_old_polygon_count,0.0
flood_history_old,0.0
